Designator,Footprint,Quantity,Value,LCSC Part #
"J1_2, J1, J6_2, J6",PinHeader_1x10_P2.54mm_Vertical,4,Conn_01x20_Pin,
"J2_2, J2, J3_2, J3, J4_2, J4, J5_2, J5",1x10 test pad,8,Conn_01x20_Pin,
